Country,Value(2013)
Afghanistan,77
Angola,98.4
Albania,10.7
Andorra,3.61
UAE,8
Argentina,12.7
Armenia,15.9
Antigua and Barbuda,8.04
Australia,4.13
Austria,3.91
Azerbaijan,30.4
Burundi,75.2
Belgium,4.19
Benin,104
Burkina Faso,95.8
Bangladesh,40.8
Bulgaria,9.23
Bahrain,7.83
Bahamas,11.8
Bosnia and Herzegovina,6.42
Belarus,4.5
Belize,16.9
Bolivia,34.4
Brazil,16.7
Barbados,13.9
Brunei,10.2
Bhutan,36.4
Botswana,43.1
Central African Republic,138
Canada,5.45
Switzerland,4.4
Chile,8.26
China,12.5
Cote d'Ivoire,96.7
Cameroon,93.8
"Congo, Dem. Rep.",104
"Congo, Rep.",57.9
Colombia,16.8
Comoros,79.5
Cape Verde,22.9
Costa Rica,9.46
Cuba,5.67
Cyprus,3.03
Czech Republic,3.11
Germany,3.96
Djibouti,69.6
Dominica,27.4
Denmark,4.11
Dominican Republic,32.7
Algeria,25.7
Ecuador,16.1
Egypt,25.5
Eritrea,49.8
Spain,3.47
Estonia,3.64
Ethiopia,70.5
Finland,2.56
Fiji,24.1
France,4.17
"Micronesia, Fed. Sts.",36.1
Gabon,55.7
UK,4.64
Georgia,11.4
Ghana,60.2
Guinea,111
Gambia,69.3
Guinea-Bissau,98.7
Equatorial Guinea,101
Greece,4.23
Grenada,14.7
Guatemala,31.2
Guyana,35
"Hong Kong, China",2.47
Honduras,21
Holy See,22
Croatia,5.05
Haiti,74.4
Hungary,5.6
Indonesia,30.3
India,49.1
Ireland,3.92
Iran,17.3
Iraq,31.5
Iceland,2.34
Israel,4.12
Italy,3.68
Jamaica,16.9
Jordan,18.7
Japan,2.91
Kazakhstan,14.5
Kenya,50
Kyrgyz Republic,24.7
Cambodia,35.6
Kiribati,60.6
St. Kitts and Nevis,13.8
South Korea,3.73
Kuwait,9.2
Lao,58.9
Lebanon,8.96
Liberia,85.2
Libya,14.4
St. Lucia,18.3
Liechtenstein,6.69
Sri Lanka,9.99
Lesotho,94.7
Lithuania,5.05
Luxembourg,2.77
Latvia,6.04
Morocco,28
Monaco,3.72
Moldova,16.6
Madagascar,61.2
Maldives,11.3
Mexico,15.9
Marshall Islands,37.5
North Macedonia,11.2
Mali,118
Malta,6.9
Myanmar,55.8
Montenegro,4.47
Mongolia,20.7
Mozambique,89.9
Mauritania,89
Mauritius,14.6
Malawi,68.6
Malaysia,7.98
Namibia,46.6
Niger,103
Nigeria,129
Nicaragua,19.2
Netherlands,4.16
Norway,2.88
Nepal,40.1
Nauru,36.8
New Zealand,6.02
Oman,11.3
Pakistan,80.5
Panama,18.1
Peru,17.6
Philippines,30.9
Palau,21.1
Papua New Guinea,54.2
Poland,5.21
North Korea,24
Portugal,3.69
Paraguay,23.7
Palestine,22.4
Qatar,8.2
Romania,10.6
Russia,9.47
Rwanda,47.5
Saudi Arabia,9.86
Sudan,70.1
Senegal,55.8
Singapore,2.72
Solomon Islands,23.4
Sierra Leone,137
El Salvador,16.7
San Marino,2.41
Somalia,142
Serbia,6.87
South Sudan,99.1
Sao Tome and Principe,38.4
Suriname,22.3
Slovak Republic,6.39
Slovenia,2.75
Sweden,2.94
Eswatini,69.4
Seychelles,14.5
Syria,17.7
Chad,138
Togo,81.8
Thailand,11.5
Tajikistan,39.7
Turkmenistan,54.2
Timor-Leste,54.9
Tonga,17.4
Trinidad and Tobago,21.4
Tunisia,17.5
Turkey,14.3
Tuvalu,28.6
Taiwan,5.33
Tanzania,63.7
Uganda,62.7
Ukraine,10.2
Uruguay,9.6
USA,6.97
Uzbekistan,29.8
St. Vincent and the Grenadines,19.1
Venezuela,17.3
Vietnam,22.3
Vanuatu,29.5
Samoa,17.9
Yemen,55
South Africa,41.2
Zambia,70.7
Zimbabwe,62.3
