Country,Value(2013)
Afghanistan,5.88
Angola,5.95
Albania,1.74
Andorra,1.14
UAE,1.53
Argentina,2.34
Armenia,1.67
Antigua and Barbuda,1.54
Australia,1.88
Austria,1.44
Azerbaijan,2.15
Burundi,5.89
Belgium,1.75
Benin,5.41
Burkina Faso,5.7
Bangladesh,2.25
Bulgaria,1.48
Bahrain,2.17
Bahamas,1.74
Bosnia and Herzegovina,1.28
Belarus,1.67
Belize,2.5
Bolivia,3.01
Brazil,1.76
Barbados,1.73
Brunei,1.98
Bhutan,2
Botswana,3.05
Central African Republic,6.08
Canada,1.61
Switzerland,1.51
Chile,1.79
China,1.71
Cote d'Ivoire,5.14
Cameroon,4.91
"Congo, Dem. Rep.",6.53
"Congo, Rep.",4.73
Colombia,1.86
Comoros,4.57
Cape Verde,2.07
Costa Rica,1.78
Cuba,1.68
Cyprus,1.3
Czech Republic,1.46
Germany,1.42
Djibouti,3.19
Dominica,1.78
Denmark,1.67
Dominican Republic,2.47
Algeria,3
Ecuador,2.36
Egypt,3.49
Eritrea,4.34
Spain,1.28
Estonia,1.52
Ethiopia,4.71
Finland,1.75
Fiji,2.6
France,1.97
"Micronesia, Fed. Sts.",3.13
Gabon,4.02
UK,1.83
Georgia,1.99
Ghana,4.11
Guinea,5.15
Gambia,5.39
Guinea-Bissau,4.93
Equatorial Guinea,4.95
Greece,1.29
Grenada,1.91
Guatemala,3.15
Guyana,2.71
"Hong Kong, China",1.27
Honduras,2.86
Holy See,1
Croatia,1.46
Haiti,3.22
Hungary,1.35
Indonesia,2.44
India,2.4
Ireland,1.93
Iran,1.91
Iraq,4.44
Iceland,1.94
Israel,3.04
Italy,1.38
Jamaica,1.59
Jordan,3.45
Japan,1.39
Kazakhstan,2.67
Kenya,3.96
Kyrgyz Republic,3.15
Cambodia,2.74
Kiribati,3.64
St. Kitts and Nevis,1.68
South Korea,1.21
Kuwait,1.97
Lao,2.87
Lebanon,2.36
Liberia,4.75
Libya,2.72
St. Lucia,1.5
Liechtenstein,1.46
Sri Lanka,2.18
Lesotho,3.28
Lithuania,1.58
Luxembourg,1.55
Latvia,1.53
Morocco,2.48
Monaco,2.31
Moldova,1.62
Madagascar,4.53
Maldives,2.17
Mexico,2.27
Marshall Islands,3.25
North Macedonia,1.71
Mali,6.49
Malta,1.37
Myanmar,2.26
Montenegro,1.74
Mongolia,2.94
Mozambique,5.43
Mauritania,5.32
Mauritius,1.42
Malawi,4.76
Malaysia,2.07
Namibia,3.65
Niger,7.45
Nigeria,5.69
Nicaragua,2.49
Netherlands,1.68
Norway,1.78
Nepal,2.36
Nauru,4.1
New Zealand,2
Oman,2.95
Pakistan,4.13
Panama,2.57
Peru,2.32
Philippines,3.04
Palau,2.05
Papua New Guinea,3.68
Poland,1.29
North Korea,1.88
Portugal,1.21
Paraguay,2.64
Palestine,4.05
Qatar,2.03
Romania,1.47
Russia,1.73
Rwanda,4.14
Saudi Arabia,2.67
Sudan,4.97
Senegal,5.05
Singapore,0.95
Solomon Islands,4.33
Sierra Leone,4.87
El Salvador,2.15
San Marino,1.48
Somalia,7.14
Serbia,1.43
South Sudan,4.94
Sao Tome and Principe,4.58
Suriname,2.65
Slovak Republic,1.4
Slovenia,1.55
Sweden,1.89
Eswatini,3.24
Seychelles,2.18
Syria,3.17
Chad,6.84
Togo,4.75
Thailand,1.53
Tajikistan,3.43
Turkmenistan,3.01
Timor-Leste,4.21
Tonga,3.7
Trinidad and Tobago,1.6
Tunisia,2.31
Turkey,2.11
Tuvalu,3.39
Taiwan,1.13
Tanzania,5.16
Uganda,5.56
Ukraine,1.52
Uruguay,2.03
USA,1.84
Uzbekistan,2.45
St. Vincent and the Grenadines,2.11
Venezuela,2.33
Vietnam,1.98
Vanuatu,4.04
Samoa,4.49
Yemen,4.62
South Africa,2.43
Zambia,5.01
Zimbabwe,4.11
