Country,Value(2013)
Afghanistan,0.28
Angola,1.28
Albania,2.27
Andorra,5.9
UAE,27
Argentina,4.66
Armenia,2.07
Antigua and Barbuda,5.73
Australia,16.4
Austria,11.1
Azerbaijan,3.78
Burundi,0.042
Belgium,18.9
Benin,0.764
Burkina Faso,0.217
Bangladesh,0.392
Bulgaria,5.13
Bahrain,9.97
Bahamas,7.82
Bosnia and Herzegovina,6.16
Belarus,6.81
Belize,1.49
Bolivia,1.67
Brazil,2.92
Barbados,5.06
Brunei,20.7
Bhutan,1.2
Botswana,5.63
Central African Republic,0.064
Canada,16.5
Switzerland,17.5
Chile,5.11
China,6.31
Cote d'Ivoire,0.554
Cameroon,0.438
"Congo, Dem. Rep.",0.05
"Congo, Rep.",0.695
Colombia,2.18
Comoros,0.237
Cape Verde,0.975
Costa Rica,2.53
Cuba,2.46
Cyprus,5.55
Czech Republic,10.3
Germany,11.3
Djibouti,0.629
Dominica,2.38
Denmark,9.26
Dominican Republic,4.73
Algeria,3.48
Ecuador,2.89
Egypt,2.28
Eritrea,0.191
Spain,5.91
Estonia,13
Ethiopia,0.085
Finland,12.2
Fiji,1.52
France,7.34
"Micronesia, Fed. Sts.",1.28
Gabon,2.9
UK,9.6
Georgia,2.76
Ghana,0.792
Guinea,0.185
Gambia,0.22
Guinea-Bissau,0.156
Equatorial Guinea,7.15
Greece,5.83
Grenada,2.81
Guatemala,0.692
Guyana,2.55
"Hong Kong, China",16.7
Honduras,1.95
Croatia,5.43
Haiti,0.221
Hungary,6.09
Indonesia,2.02
India,1.4
Ireland,10.1
Iran,6.43
Iraq,4.94
Iceland,10.7
Israel,10.3
Italy,8.1
Jamaica,2.15
Jordan,4.64
Japan,12
Kazakhstan,8.71
Kenya,0.514
Kyrgyz Republic,2.97
Cambodia,1.66
Kiribati,0.476
St. Kitts and Nevis,4.45
South Korea,13
Kuwait,20.9
Lao,0.49
Lebanon,3.76
Liberia,0.207
Libya,8.87
St. Lucia,2.29
Liechtenstein,5.22
Sri Lanka,1.45
Lesotho,1.2
Lithuania,6.96
Luxembourg,21.2
Latvia,6.24
Morocco,1.84
Moldova,1.2
Madagascar,0.201
Maldives,2.63
Mexico,4.73
Marshall Islands,2.45
North Macedonia,3.79
Mali,0.161
Malta,14.7
Myanmar,0.25
Montenegro,3.44
Mongolia,15.2
Mozambique,0.547
Mauritania,0.536
Mauritius,4.06
Malawi,0.065
Malaysia,7.92
Namibia,4.37
Niger,0.102
Nigeria,0.641
Nicaragua,0.938
Netherlands,11.2
Norway,9.59
Nepal,0.215
Nauru,4.31
New Zealand,8.8
Oman,13.9
Pakistan,0.799
Panama,−0.325
Peru,1.91
Philippines,1.29
Palau,12.5
Papua New Guinea,0.662
Poland,8.03
North Korea,1.08
Portugal,4.74
Paraguay,1.63
Palestine,0.563
Qatar,23.1
Romania,3.94
Russia,9.86
Rwanda,0.069
Saudi Arabia,17
Sudan,0.407
Senegal,0.725
Singapore,47.5
Solomon Islands,0.34
Sierra Leone,0.151
El Salvador,1.27
Somalia,0.048
Serbia,5
South Sudan,0.14
Sao Tome and Principe,0.592
Suriname,3.83
Slovak Republic,7.94
Slovenia,8.68
Sweden,7.66
Eswatini,1.4
Seychelles,3.53
Syria,1.83
Chad,0.071
Togo,0.201
Thailand,4.04
Tajikistan,1.45
Turkmenistan,12.4
Timor-Leste,0.385
Tonga,1.12
Trinidad and Tobago,10.3
Tunisia,1.75
Turkey,5.03
Tuvalu,1.01
Taiwan,12.4
Tanzania,0.375
Uganda,0.17
Ukraine,6
Uruguay,3.65
USA,17.9
Uzbekistan,3.43
St. Vincent and the Grenadines,1.92
Venezuela,3.55
Vietnam,1.19
Vanuatu,0.414
Samoa,1.04
Yemen,0.994
South Africa,6.2
Zambia,0.511
Zimbabwe,0.906
