Country,Value(2013)
Afghanistan,4.81
Angola,5.98
Albania,9.82
Andorra,61.2
UAE,72.5
Argentina,24
Armenia,7.81
Antigua and Barbuda,18
Australia,64.2
Austria,63.5
Azerbaijan,19.5
Burundi,2.29
Belgium,54.4
Benin,3
Burkina Faso,3.18
Bangladesh,4.27
Bulgaria,18.9
Bahrain,50.1
Bahamas,33.1
Bosnia and Herzegovina,22.3
Belarus,18.2
Belize,8.71
Bolivia,20.4
Brazil,20.5
Barbados,15.6
Brunei,68.3
Bhutan,10.1
Botswana,9.5
Central African Republic,2.7
Canada,63
Switzerland,76.8
Chile,21.5
China,9.7
Cote d'Ivoire,3.95
Cameroon,5.54
"Congo, Dem. Rep.",2.12
"Congo, Rep.",4.76
Colombia,15.2
Comoros,6.62
Cape Verde,9.18
Costa Rica,25.5
Cuba,10.8
Cyprus,47.5
Czech Republic,31.4
Germany,59
Djibouti,5.19
Dominica,12.6
Denmark,58.7
Dominican Republic,12.8
Algeria,9.43
Ecuador,15.3
Egypt,6.87
Eritrea,2.67
Spain,41.2
Estonia,28.3
Ethiopia,3.59
Finland,54.9
Fiji,10.7
France,57.3
"Micronesia, Fed. Sts.",5.56
Gabon,11
UK,51
Georgia,7.43
Ghana,4.9
Guinea,3.95
Gambia,4.82
Guinea-Bissau,3.11
Equatorial Guinea,29.5
Greece,24.7
Grenada,12.6
Guatemala,9.7
Guyana,12.9
"Hong Kong, China",57.6
Honduras,9.59
Croatia,20.4
Haiti,3.97
Hungary,20
Indonesia,5.87
India,4.12
Ireland,43
Iran,15.1
Iraq,11.6
Iceland,49.8
Israel,35.6
Italy,45
Jamaica,14.6
Jordan,16.5
Japan,49.8
Kazakhstan,12.6
Kenya,4.23
Kyrgyz Republic,5.93
Cambodia,4.18
Kiribati,5.92
St. Kitts and Nevis,25.6
South Korea,40.5
Kuwait,58.1
Lao,5.58
Lebanon,29.1
Liberia,3.63
Libya,25.6
St. Lucia,15.7
Sri Lanka,8.16
Lesotho,3.83
Lithuania,23.7
Luxembourg,78.1
Latvia,21.7
Morocco,10.6
Monaco,67.5
Moldova,11.7
Madagascar,1.58
Maldives,13.8
Mexico,13.7
Marshall Islands,8.19
North Macedonia,10.9
Mali,3.57
Malta,42.9
Myanmar,5.84
Montenegro,15.8
Mongolia,11
Mozambique,2.73
Mauritania,6.21
Mauritius,15.2
Malawi,2.38
Malaysia,26.4
Namibia,10.3
Niger,2.47
Nigeria,3.59
Nicaragua,11
Netherlands,53.7
Norway,71.3
Nepal,5.77
Nauru,7.12
New Zealand,39.8
Oman,36
Pakistan,4.68
Panama,26.8
Peru,12.8
Philippines,7.21
Palau,16.7
Papua New Guinea,3.73
Poland,21.8
North Korea,4.94
Portugal,28.3
Paraguay,18.8
Palestine,14.1
Qatar,126
Romania,10.7
Russia,25.6
Rwanda,3.1
Saudi Arabia,47.3
Sudan,4.59
Senegal,3.97
Singapore,101
Solomon Islands,4.13
Sierra Leone,3.37
El Salvador,10.9
San Marino,57.3
Somalia,2.16
Serbia,13.2
South Sudan,2.94
Sao Tome and Principe,4.46
Suriname,20
Slovak Republic,23.1
Slovenia,36.9
Sweden,52.1
Eswatini,4.72
Seychelles,24.1
Syria,6.82
Chad,3.81
Togo,2.7
Thailand,15.3
Tajikistan,6.18
Turkmenistan,9.43
Timor-Leste,3.33
Tonga,9.11
Trinidad and Tobago,30.4
Tunisia,12.9
Turkey,19.8
Tuvalu,8.82
Taiwan,42.9
Tanzania,3.16
Uganda,3.65
Ukraine,13.5
Uruguay,27.3
USA,69.2
Uzbekistan,2.66
St. Vincent and the Grenadines,12.3
Venezuela,12.8
Vietnam,10.2
Vanuatu,5.34
Samoa,10.2
Yemen,4.56
South Africa,12.1
Zambia,2.85
Zimbabwe,5.08
