Country,Value(2013)
Afghanistan,2170
Angola,8100
Albania,11.4k
Andorra,55.7k
UAE,62.1k
Argentina,24.3k
Armenia,10.7k
Antigua and Barbuda,19.6k
Australia,46.8k
Austria,53.3k
Azerbaijan,14.7k
Burundi,825
Belgium,47.9k
Benin,2790
Burkina Faso,1820
Bangladesh,3930
Bulgaria,18.9k
Bahrain,49k
Bahamas,33.1k
Bosnia and Herzegovina,11.5k
Belarus,18.8k
Belize,9010
Bolivia,7300
Brazil,15.8k
Barbados,15.4k
Brunei,65.5k
Bhutan,8970
Botswana,14.1k
Central African Republic,763
Canada,46.6k
Switzerland,65.3k
Chile,24.1k
China,11.1k
Cote d'Ivoire,3990
Cameroon,3450
"Congo, Dem. Rep.",945
"Congo, Rep.",4530
Colombia,13.5k
Comoros,3190
Cape Verde,6890
Costa Rica,18k
Cuba,8450
Cyprus,32.2k
Czech Republic,33.7k
Germany,49.8k
Djibouti,3670
Dominica,12k
Denmark,50.7k
Dominican Republic,13.6k
Algeria,11.2k
Ecuador,10.9k
Egypt,10.3k
Eritrea,1590
Spain,35k
Estonia,29.8k
Ethiopia,1520
Finland,45.4k
Fiji,10.8k
France,42.9k
"Micronesia, Fed. Sts.",3180
Gabon,14.7k
UK,42.4k
Georgia,11.4k
Ghana,4620
Guinea,2010
Gambia,1950
Guinea-Bissau,1610
Equatorial Guinea,28.8k
Greece,27.7k
Grenada,12.4k
Guatemala,7730
Guyana,11.3k
"Hong Kong, China",55.2k
Honduras,5020
Croatia,24k
Haiti,3110
Hungary,25.4k
Indonesia,9400
India,4750
Ireland,53k
Iran,14.1k
Iraq,9510
Iceland,49.6k
Israel,36.8k
Italy,39.8k
Jamaica,9720
Jordan,11.3k
Japan,39.4k
Kazakhstan,24k
Kenya,3950
Kyrgyz Republic,4650
Cambodia,3200
Kiribati,1580
St. Kitts and Nevis,26.3k
South Korea,37k
Kuwait,53.6k
Lao,5790
Lebanon,18.2k
Liberia,1640
Libya,21.4k
St. Lucia,14.3k
Sri Lanka,11k
Lesotho,2620
Lithuania,28.5k
Luxembourg,110k
Latvia,24.9k
Morocco,7360
Monaco,194k
Moldova,9610
Madagascar,1490
Maldives,17.7k
Mexico,19.2k
Marshall Islands,3990
North Macedonia,13.4k
Mali,1930
Malta,34.5k
Myanmar,3630
Montenegro,17.4k
Mongolia,10.5k
Mozambique,1170
Mauritania,5100
Mauritius,19.1k
Malawi,1400
Malaysia,22.3k
Namibia,10.1k
Niger,1090
Nigeria,5240
Nicaragua,5220
Netherlands,51k
Norway,62.3k
Nepal,2980
Nauru,9340
New Zealand,39.8k
Oman,36.3k
Pakistan,4270
Panama,27.5k
Peru,11.6k
Philippines,6610
Palau,15.4k
Papua New Guinea,3350
Poland,25.5k
North Korea,2040
Portugal,30.1k
Paraguay,12.2k
Palestine,6120
Qatar,110k
Romania,22.1k
Russia,26.5k
Rwanda,1680
Saudi Arabia,45.1k
Sudan,4690
Senegal,2820
Singapore,84.9k
Solomon Islands,2510
Sierra Leone,1910
El Salvador,7940
San Marino,57.1k
Somalia,1020
Serbia,15.4k
South Sudan,624
Sao Tome and Principe,3590
Suriname,19.7k
Slovak Republic,26.7k
Slovenia,32.2k
Sweden,48.1k
Eswatini,7750
Seychelles,22.8k
Syria,4160
Chad,1800
Togo,1810
Thailand,15.4k
Tajikistan,2740
Turkmenistan,16.5k
Timor-Leste,3120
Tonga,5420
Trinidad and Tobago,30k
Tunisia,10.5k
Turkey,23.9k
Tuvalu,3520
Taiwan,43.6k
Tanzania,2170
Uganda,2030
Ukraine,13k
Uruguay,22.2k
USA,55.6k
Uzbekistan,5780
St. Vincent and the Grenadines,12.1k
Venezuela,19.9k
Vietnam,7260
Vanuatu,2960
Samoa,5660
Yemen,3680
South Africa,14k
Zambia,3280
Zimbabwe,2330
