Country,Value(2013)
Afghanistan,61.9
Angola,62.1
Albania,78.3
Andorra,82
UAE,71.6
Argentina,76.3
Armenia,75.1
Antigua and Barbuda,76.1
Australia,82.7
Austria,81.3
Azerbaijan,69.7
Burundi,60.8
Belgium,80.7
Benin,62
Burkina Faso,58.9
Bangladesh,72.8
Bulgaria,73.3
Bahrain,76.2
Bahamas,73.5
Bosnia and Herzegovina,76.6
Belarus,72.8
Belize,74.3
Bolivia,70.9
Brazil,74.5
Barbados,76.5
Brunei,73.9
Bhutan,71.8
Botswana,59.4
Central African Republic,47.5
Canada,82.1
Switzerland,83.3
Chile,79.3
China,76.1
Cote d'Ivoire,59.4
Cameroon,59.1
"Congo, Dem. Rep.",60.9
"Congo, Rep.",62.4
Colombia,79.3
Comoros,66.7
Cape Verde,74.8
Costa Rica,80.4
Cuba,78.8
Cyprus,80.3
Czech Republic,78.5
Germany,80.8
Djibouti,64.5
Dominica,72.3
Denmark,80.5
Dominican Republic,72.3
Algeria,75.1
Ecuador,75.2
Egypt,70.1
Eritrea,61.3
Spain,82.7
Estonia,77.2
Ethiopia,65.6
Finland,81.2
Fiji,67.9
France,82.3
"Micronesia, Fed. Sts.",64.2
Gabon,65.3
UK,81
Georgia,72.9
Ghana,63.5
Guinea,58.4
Gambia,64.8
Guinea-Bissau,57.9
Equatorial Guinea,64.5
Greece,80.9
Grenada,73.1
Guatemala,71.3
Guyana,66
"Hong Kong, China",83.8
Honduras,69.6
Croatia,77.8
Haiti,61.6
Hungary,75.9
Indonesia,70
India,68.4
Ireland,81.2
Iran,76.2
Iraq,70.9
Iceland,83.2
Israel,82.5
Italy,82.6
Jamaica,77.1
Jordan,77.9
Japan,83.9
Kazakhstan,69.4
Kenya,63.2
Kyrgyz Republic,71.2
Cambodia,68.2
Kiribati,59.5
St. Kitts and Nevis,72.2
South Korea,81.9
Kuwait,81.3
Lao,66.7
Lebanon,75.8
Liberia,63.4
Libya,76.7
St. Lucia,75.7
Liechtenstein,82.4
Sri Lanka,76
Lesotho,47.9
Lithuania,74
Luxembourg,81.7
Latvia,74.2
Morocco,72.1
Monaco,79.3
Moldova,72.7
Madagascar,63.5
Maldives,78.5
Mexico,75.5
Marshall Islands,64.6
North Macedonia,74
Mali,59.2
Malta,81.6
Myanmar,66.7
Montenegro,75.1
Mongolia,66.6
Mozambique,54
Mauritania,69
Mauritius,75.1
Malawi,60.6
Malaysia,75.3
Namibia,63.3
Niger,60
Nigeria,61.2
Nicaragua,74.5
Netherlands,81.4
Norway,81.8
Nepal,69.7
Nauru,61.4
New Zealand,81.5
Oman,71.9
Pakistan,64
Panama,78.7
Peru,78.4
Philippines,70.6
Palau,67
Papua New Guinea,63.4
Poland,77.2
North Korea,71.7
Portugal,81.1
Paraguay,76
Palestine,74.8
Qatar,74.7
Romania,75.3
Russia,70.9
Rwanda,66.8
Saudi Arabia,72.9
Sudan,68.3
Senegal,66.5
Singapore,83.5
Solomon Islands,58
Sierra Leone,58.2
El Salvador,74.3
San Marino,82
Somalia,56.2
Serbia,74.9
South Sudan,60.8
Sao Tome and Principe,69.4
Suriname,73
Slovak Republic,76.7
Slovenia,80.5
Sweden,82.3
Eswatini,52.1
Seychelles,73.5
Syria,66.4
Chad,57.8
Togo,61.3
Thailand,78
Tajikistan,68.6
Turkmenistan,69.8
Timor-Leste,70.4
Tonga,72.5
Trinidad and Tobago,74.9
Tunisia,76.7
Turkey,77
Tuvalu,67
Taiwan,80.1
Tanzania,63.7
Uganda,62.4
Ukraine,71.8
Uruguay,76.8
USA,79.1
Uzbekistan,67
St. Vincent and the Grenadines,72.5
Venezuela,75.5
Vietnam,73.6
Vanuatu,64.8
Samoa,69.9
Yemen,68.4
South Africa,61.3
Zambia,59.5
Zimbabwe,57.2
